Organ Transplantation Center Service Type Description,OTC Code,Organ Transplantation Center Type,OTC Name,OTC Address,OTC City,ZIP Code,Organ Transplantation Center Telephone Number,Organ Transplantation Center URL,Organ Procurement Organization Provider Number,Organ Procurement Organization Name,Organ Procurement Organization Address,Organ Procurement Organization City,Organ Procurement Organization State Abbreviation,Organ Procurement Organization State Name,Organ Procurement Organization Postal Code,Organ Procurement Organization Telephone Number,Organ Procurement Organization URL,State and County Federal Information Processing Standard Code,County or County Equivalent Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State Abbreviation,U.S. - Mexico Border County Indicator,U.S. - Mexico Border 100 Kilometer Indicator,Data Warehouse Record Create Date,Data Warehouse Record Create Date Text,OTC Service List,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,Common Region Code,Common Region Name,Common State Name,Common State Abbreviation,Common State FIPS Code,Common State County FIPS Code,Common County Name,Common City Name with State Abbreviation,Common Congressional District Name,Common Congress Number Text,Common State FIPS Code Congressional District Number,Common Postal Code,Organ Transplantation Center Program URL
Lung,CASD,TX1,University of California San Diego Medical Center,200 W Arbor Dr,San Diego,92103,619-543-6222,http://health.ucsd.edu,05P001,Lifesharing - A Donate Life Organization,7436 Mission Valley Rd,San Diego,CA,California,92108-4406,619-543-7225,http://www.lifesharing.org,6073,73,San Diego County,San Diego,County            ,9,Region IX,6,California,CA,Y,Y,10/25/18,10/25/18," Heart, Kidney, Liver, Lung, Pancreas",-117.165551,32.75379752,9,Region IX,California,CA,6,6073,"San Diego County, CA","San Diego, CA",California District 53,115,653,92103,https://www.srtr.org/transplant-centers/university-of-california-san-diego-medical-center-casd/
Kidney,CASF,TX1,University of California San Francisco Medical Center,350 Parnassus Ave,San Francisco,94117,415-353-1551,http://www.ucsfhealth.org/,05P005,Donor Network West,12667 Alcosta Blvd Ste 500,San Ramon,CA,California,94583-4427,888-570-9400,http://www.donornetworkwest.org/,6075,75,San Francisco County,San Francisco,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",-122.4541564,37.76440322,9,Region IX,California,CA,6,6075,"San Francisco County, CA","San Francisco, CA",California District 12,115,612,94117,https://www.srtr.org/transplant-centers/university-of-california-san-francisco-medical-center-casf/
Pancreas,CASF,TX1,University of California San Francisco Medical Center,350 Parnassus Ave,San Francisco,94117,415-353-1551,http://www.ucsfhealth.org/,05P005,Donor Network West,12667 Alcosta Blvd Ste 500,San Ramon,CA,California,94583-4427,888-570-9400,http://www.donornetworkwest.org/,6075,75,San Francisco County,San Francisco,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",-122.4541564,37.76440322,9,Region IX,California,CA,6,6075,"San Francisco County, CA","San Francisco, CA",California District 12,115,612,94117,https://www.srtr.org/transplant-centers/university-of-california-san-francisco-medical-center-casf/
Pancreas Islet,CASF,TX1,University of California San Francisco Medical Center,350 Parnassus Ave,San Francisco,94117,415-353-1551,http://www.ucsfhealth.org/,05P005,Donor Network West,12667 Alcosta Blvd Ste 500,San Ramon,CA,California,94583-4427,888-570-9400,http://www.donornetworkwest.org/,6075,75,San Francisco County,San Francisco,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",-122.4541564,37.76440322,9,Region IX,California,CA,6,6075,"San Francisco County, CA","San Francisco, CA",California District 12,115,612,94117,https://www.srtr.org/transplant-centers/university-of-california-san-francisco-medical-center-casf/
Liver,CASF,TX1,University of California San Francisco Medical Center,350 Parnassus Ave,San Francisco,94117,415-353-1551,http://www.ucsfhealth.org/,05P005,Donor Network West,12667 Alcosta Blvd Ste 500,San Ramon,CA,California,94583-4427,888-570-9400,http://www.donornetworkwest.org/,6075,75,San Francisco County,San Francisco,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",-122.4541564,37.76440322,9,Region IX,California,CA,6,6075,"San Francisco County, CA","San Francisco, CA",California District 12,115,612,94117,https://www.srtr.org/transplant-centers/university-of-california-san-francisco-medical-center-casf/
Intestine,CASF,TX1,University of California San Francisco Medical Center,350 Parnassus Ave,San Francisco,94117,415-353-1551,http://www.ucsfhealth.org/,05P005,Donor Network West,12667 Alcosta Blvd Ste 500,San Ramon,CA,California,94583-4427,888-570-9400,http://www.donornetworkwest.org/,6075,75,San Francisco County,San Francisco,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",-122.4541564,37.76440322,9,Region IX,California,CA,6,6075,"San Francisco County, CA","San Francisco, CA",California District 12,115,612,94117,https://www.srtr.org/transplant-centers/university-of-california-san-francisco-medical-center-casf/
Heart,CASF,TX1,University of California San Francisco Medical Center,350 Parnassus Ave,San Francisco,94117,415-353-1551,http://www.ucsfhealth.org/,05P005,Donor Network West,12667 Alcosta Blvd Ste 500,San Ramon,CA,California,94583-4427,888-570-9400,http://www.donornetworkwest.org/,6075,75,San Francisco County,San Francisco,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",-122.4541564,37.76440322,9,Region IX,California,CA,6,6075,"San Francisco County, CA","San Francisco, CA",California District 12,115,612,94117,https://www.srtr.org/transplant-centers/university-of-california-san-francisco-medical-center-casf/
Lung,CASF,TX1,University of California San Francisco Medical Center,350 Parnassus Ave,San Francisco,94117,415-353-1551,http://www.ucsfhealth.org/,05P005,Donor Network West,12667 Alcosta Blvd Ste 500,San Ramon,CA,California,94583-4427,888-570-9400,http://www.donornetworkwest.org/,6075,75,San Francisco County,San Francisco,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",-122.4541564,37.76440322,9,Region IX,California,CA,6,6075,"San Francisco County, CA","San Francisco, CA",California District 12,115,612,94117,https://www.srtr.org/transplant-centers/university-of-california-san-francisco-medical-center-casf/
Heart,CASG,TX1,Sutter Meidcal Center Sacramento,2825 Capitol Ave,Sacramento,95816,916-887-4242,http://suttermedicalcenter.org/,05P004,Sierra Donor Services,3940 Industrial Blvd,West Sacramento,CA,California,95691-6505,916-567-1600,http://www.sierradonor.org,6067,67,Sacramento County,Sacramento,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18, Heart,-121.4698612,38.57038623,9,Region IX,California,CA,6,6067,"Sacramento County, CA","Sacramento, CA",California District 06,115,606,95816,https://www.srtr.org/transplant-centers/sutter-memorial-hospital-casg/
Kidney,CASH,TX1,Sharp Memorial Hospital,7901 Frost St,San Diego,92123,858-939-3400,http://www.sharp.com/transplant/index.cfm,05P001,Lifesharing - A Donate Life Organization,7436 Mission Valley Rd,San Diego,CA,California,92108-4406,619-543-7225,http://www.lifesharing.org,6073,73,San Diego County,San Diego,County            ,9,Region IX,6,California,CA,Y,Y,10/25/18,10/25/18," Heart, Kidney, Pancreas",-117.1552495,32.80021597,9,Region IX,California,CA,6,6073,"San Diego County, CA","San Diego, CA",California District 53,115,653,92123,https://www.srtr.org/transplant-centers/sharp-memorial-hospital-cash/
Pancreas,CASH,TX1,Sharp Memorial Hospital,7901 Frost St,San Diego,92123,858-939-3400,http://www.sharp.com/transplant/index.cfm,05P001,Lifesharing - A Donate Life Organization,7436 Mission Valley Rd,San Diego,CA,California,92108-4406,619-543-7225,http://www.lifesharing.org,6073,73,San Diego County,San Diego,County            ,9,Region IX,6,California,CA,Y,Y,10/25/18,10/25/18," Heart, Kidney, Pancreas",-117.1552495,32.80021597,9,Region IX,California,CA,6,6073,"San Diego County, CA","San Diego, CA",California District 53,115,653,92123,https://www.srtr.org/transplant-centers/sharp-memorial-hospital-cash/
Heart,CASH,TX1,Sharp Memorial Hospital,7901 Frost St,San Diego,92123,858-939-3400,http://www.sharp.com/transplant/index.cfm,05P001,Lifesharing - A Donate Life Organization,7436 Mission Valley Rd,San Diego,CA,California,92108-4406,619-543-7225,http://www.lifesharing.org,6073,73,San Diego County,San Diego,County            ,9,Region IX,6,California,CA,Y,Y,10/25/18,10/25/18," Heart, Kidney, Pancreas",-117.1552495,32.80021597,9,Region IX,California,CA,6,6073,"San Diego County, CA","San Diego, CA",California District 53,115,653,92123,https://www.srtr.org/transplant-centers/sharp-memorial-hospital-cash/
Kidney,CASJ,TX1,Saint Joseph Hospital,1100 W Stewart Dr,Orange,92868,714-633-9111,http://www.sjo.org,05P003,OneLegacy,221 S Figueroa St Ste 500,Los Angeles,CA,California,90012-2526,213-229-5600,http://www.onelegacy.org,6059,59,Orange County,Orange,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18, Kidney,-117.8648515,33.78236253,9,Region IX,California,CA,6,6059,"Orange County, CA","Orange, CA",California District 46,115,646,92868,https://www.srtr.org/transplant-centers/saint-joseph-hospital-casj/
Kidney,CASM,TX1,University of California Davis Medical Center,2315 Stockton Blvd,Sacramento,95817,916-734-2111,http://www.ucdmc.ucdavis.edu/transplant/,05P004,Sierra Donor Services,3940 Industrial Blvd,West Sacramento,CA,California,95691-6505,916-567-1600,http://www.sierradonor.org,6067,67,Sacramento County,Sacramento,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Kidney, Pancreas",-121.4575014,38.55434599,9,Region IX,California,CA,6,6067,"Sacramento County, CA","Sacramento, CA",California District 06,115,606,95817,https://www.srtr.org/transplant-centers/university-of-california-davis-medical-center-casm/
Pancreas,CASM,TX1,University of California Davis Medical Center,2315 Stockton Blvd,Sacramento,95817,916-734-2111,http://www.ucdmc.ucdavis.edu/transplant/,05P004,Sierra Donor Services,3940 Industrial Blvd,West Sacramento,CA,California,95691-6505,916-567-1600,http://www.sierradonor.org,6067,67,Sacramento County,Sacramento,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Kidney, Pancreas",-121.4575014,38.55434599,9,Region IX,California,CA,6,6067,"Sacramento County, CA","Sacramento, CA",California District 06,115,606,95817,https://www.srtr.org/transplant-centers/university-of-california-davis-medical-center-casm/
Heart,CASM,TX1,University of California Davis Medical Center,2315 Stockton Blvd,Sacramento,95817,916-734-2111,http://www.ucdmc.ucdavis.edu/transplant/,05P004,Sierra Donor Services,3940 Industrial Blvd,West Sacramento,CA,California,95691-6505,916-567-1600,http://www.sierradonor.org,6067,67,Sacramento County,Sacramento,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Kidney, Pancreas",-121.4575014,38.55434599,9,Region IX,California,CA,6,6067,"Sacramento County, CA","Sacramento, CA",California District 06,115,606,95817,https://www.srtr.org/transplant-centers/university-of-california-davis-medical-center-casm/
Kidney,CASU,TX1,Stanford Health Care,300 Pasteur Dr,Stanford,94305,650-723-4000,http://stanfordhospital.org/,05P005,Donor Network West,12667 Alcosta Blvd Ste 500,San Ramon,CA,California,94583-4427,888-570-9400,http://www.donornetworkwest.org/,6085,85,Santa Clara County,Santa Clara,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas",-122.1758815,37.43303549,9,Region IX,California,CA,6,6085,"Santa Clara County, CA","Stanford, CA",California District 18,115,618,94305,https://www.srtr.org/transplant-centers/stanford-university-medical-center-casu/
Pancreas,CASU,TX1,Stanford Health Care,300 Pasteur Dr,Stanford,94305,650-723-4000,http://stanfordhospital.org/,05P005,Donor Network West,12667 Alcosta Blvd Ste 500,San Ramon,CA,California,94583-4427,888-570-9400,http://www.donornetworkwest.org/,6085,85,Santa Clara County,Santa Clara,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas",-122.1758815,37.43303549,9,Region IX,California,CA,6,6085,"Santa Clara County, CA","Stanford, CA",California District 18,115,618,94305,https://www.srtr.org/transplant-centers/stanford-university-medical-center-casu/
Liver,CASU,TX1,Stanford Health Care,300 Pasteur Dr,Stanford,94305,650-723-4000,http://stanfordhospital.org/,05P005,Donor Network West,12667 Alcosta Blvd Ste 500,San Ramon,CA,California,94583-4427,888-570-9400,http://www.donornetworkwest.org/,6085,85,Santa Clara County,Santa Clara,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas",-122.1758815,37.43303549,9,Region IX,California,CA,6,6085,"Santa Clara County, CA","Stanford, CA",California District 18,115,618,94305,https://www.srtr.org/transplant-centers/stanford-university-medical-center-casu/
Intestine,CASU,TX1,Stanford Health Care,300 Pasteur Dr,Stanford,94305,650-723-4000,http://stanfordhospital.org/,05P005,Donor Network West,12667 Alcosta Blvd Ste 500,San Ramon,CA,California,94583-4427,888-570-9400,http://www.donornetworkwest.org/,6085,85,Santa Clara County,Santa Clara,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas",-122.1758815,37.43303549,9,Region IX,California,CA,6,6085,"Santa Clara County, CA","Stanford, CA",California District 18,115,618,94305,https://www.srtr.org/transplant-centers/stanford-university-medical-center-casu/
Heart,CASU,TX1,Stanford Health Care,300 Pasteur Dr,Stanford,94305,650-723-4000,http://stanfordhospital.org/,05P005,Donor Network West,12667 Alcosta Blvd Ste 500,San Ramon,CA,California,94583-4427,888-570-9400,http://www.donornetworkwest.org/,6085,85,Santa Clara County,Santa Clara,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas",-122.1758815,37.43303549,9,Region IX,California,CA,6,6085,"Santa Clara County, CA","Stanford, CA",California District 18,115,618,94305,https://www.srtr.org/transplant-centers/stanford-university-medical-center-casu/
Lung,CASU,TX1,Stanford Health Care,300 Pasteur Dr,Stanford,94305,650-723-4000,http://stanfordhospital.org/,05P005,Donor Network West,12667 Alcosta Blvd Ste 500,San Ramon,CA,California,94583-4427,888-570-9400,http://www.donornetworkwest.org/,6085,85,Santa Clara County,Santa Clara,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas",-122.1758815,37.43303549,9,Region IX,California,CA,6,6085,"Santa Clara County, CA","Stanford, CA",California District 18,115,618,94305,https://www.srtr.org/transplant-centers/stanford-university-medical-center-casu/
Kidney,CASV,TX1,St. Vincent Medical Center,2131 W 3rd St,Los Angeles,90057,213-484-7111,http://www.stvincentmedicalcenter.com,05P003,OneLegacy,221 S Figueroa St Ste 500,Los Angeles,CA,California,90012-2526,213-229-5600,http://www.onelegacy.org,6037,37,Los Angeles County,Los Angeles,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Kidney, Pancreas",-118.2733861,34.06315091,9,Region IX,California,CA,6,6037,"Los Angeles County, CA","Los Angeles, CA",California District 34,115,634,90057,https://www.srtr.org/transplant-centers/st-vincent-medical-center-casv/
Pancreas,CASV,TX1,St. Vincent Medical Center,2131 W 3rd St,Los Angeles,90057,213-484-7111,http://www.stvincentmedicalcenter.com,05P003,OneLegacy,221 S Figueroa St Ste 500,Los Angeles,CA,California,90012-2526,213-229-5600,http://www.onelegacy.org,6037,37,Los Angeles County,Los Angeles,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Kidney, Pancreas",-118.2733861,34.06315091,9,Region IX,California,CA,6,6037,"Los Angeles County, CA","Los Angeles, CA",California District 34,115,634,90057,https://www.srtr.org/transplant-centers/st-vincent-medical-center-casv/
Kidney,CAUC,TX1,University of California at Los Angeles Medical Center,757 Westwood Plz,Los Angeles,90095,310-825-6836,http://transplants.ucla.edu/default.cfm,05P003,OneLegacy,221 S Figueroa St Ste 500,Los Angeles,CA,California,90012-2526,213-229-5600,http://www.onelegacy.org,6037,37,Los Angeles County,Los Angeles,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Vascularized Composite Allograft (VCA)",-118.4454036,34.06589269,9,Region IX,California,CA,6,6037,"Los Angeles County, CA","Los Angeles, CA",California District 33,115,633,90095,https://www.srtr.org/transplant-centers/university-of-california-at-los-angeles-medical-center-cauc/
Pancreas,CAUC,TX1,University of California at Los Angeles Medical Center,757 Westwood Plz,Los Angeles,90095,310-825-6836,http://transplants.ucla.edu/default.cfm,05P003,OneLegacy,221 S Figueroa St Ste 500,Los Angeles,CA,California,90012-2526,213-229-5600,http://www.onelegacy.org,6037,37,Los Angeles County,Los Angeles,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Vascularized Composite Allograft (VCA)",-118.4454036,34.06589269,9,Region IX,California,CA,6,6037,"Los Angeles County, CA","Los Angeles, CA",California District 33,115,633,90095,https://www.srtr.org/transplant-centers/university-of-california-at-los-angeles-medical-center-cauc/
Liver,CAUC,TX1,University of California at Los Angeles Medical Center,757 Westwood Plz,Los Angeles,90095,310-825-6836,http://transplants.ucla.edu/default.cfm,05P003,OneLegacy,221 S Figueroa St Ste 500,Los Angeles,CA,California,90012-2526,213-229-5600,http://www.onelegacy.org,6037,37,Los Angeles County,Los Angeles,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Vascularized Composite Allograft (VCA)",-118.4454036,34.06589269,9,Region IX,California,CA,6,6037,"Los Angeles County, CA","Los Angeles, CA",California District 33,115,633,90095,https://www.srtr.org/transplant-centers/university-of-california-at-los-angeles-medical-center-cauc/
Intestine,CAUC,TX1,University of California at Los Angeles Medical Center,757 Westwood Plz,Los Angeles,90095,310-825-6836,http://transplants.ucla.edu/default.cfm,05P003,OneLegacy,221 S Figueroa St Ste 500,Los Angeles,CA,California,90012-2526,213-229-5600,http://www.onelegacy.org,6037,37,Los Angeles County,Los Angeles,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Vascularized Composite Allograft (VCA)",-118.4454036,34.06589269,9,Region IX,California,CA,6,6037,"Los Angeles County, CA","Los Angeles, CA",California District 33,115,633,90095,https://www.srtr.org/transplant-centers/university-of-california-at-los-angeles-medical-center-cauc/
Heart,CAUC,TX1,University of California at Los Angeles Medical Center,757 Westwood Plz,Los Angeles,90095,310-825-6836,http://transplants.ucla.edu/default.cfm,05P003,OneLegacy,221 S Figueroa St Ste 500,Los Angeles,CA,California,90012-2526,213-229-5600,http://www.onelegacy.org,6037,37,Los Angeles County,Los Angeles,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Vascularized Composite Allograft (VCA)",-118.4454036,34.06589269,9,Region IX,California,CA,6,6037,"Los Angeles County, CA","Los Angeles, CA",California District 33,115,633,90095,https://www.srtr.org/transplant-centers/university-of-california-at-los-angeles-medical-center-cauc/
Lung,CAUC,TX1,University of California at Los Angeles Medical Center,757 Westwood Plz,Los Angeles,90095,310-825-6836,http://transplants.ucla.edu/default.cfm,05P003,OneLegacy,221 S Figueroa St Ste 500,Los Angeles,CA,California,90012-2526,213-229-5600,http://www.onelegacy.org,6037,37,Los Angeles County,Los Angeles,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Vascularized Composite Allograft (VCA)",-118.4454036,34.06589269,9,Region IX,California,CA,6,6037,"Los Angeles County, CA","Los Angeles, CA",California District 33,115,633,90095,https://www.srtr.org/transplant-centers/university-of-california-at-los-angeles-medical-center-cauc/
Vascularized Composite Allograft (VCA),CAUC,TX1,University of California at Los Angeles Medical Center,757 Westwood Plz,Los Angeles,90095,310-825-6836,http://transplants.ucla.edu/default.cfm,05P003,OneLegacy,221 S Figueroa St Ste 500,Los Angeles,CA,California,90012-2526,213-229-5600,http://www.onelegacy.org,6037,37,Los Angeles County,Los Angeles,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Vascularized Composite Allograft (VCA)",-118.4454036,34.06589269,9,Region IX,California,CA,6,6037,"Los Angeles County, CA","Los Angeles, CA",California District 33,115,633,90095,https://www.srtr.org/transplant-centers/university-of-california-at-los-angeles-medical-center-cauc/
Kidney,CAUH,TX1,Keck Hospital of USC,1500 San Pablo St,Los Angeles,90033,323-442-8500,http://transplant.keckmedicine.org/,05P003,OneLegacy,221 S Figueroa St Ste 500,Los Angeles,CA,California,90012-2526,213-229-5600,http://www.onelegacy.org,6037,37,Los Angeles County,Los Angeles,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Kidney, Liver, Lung, Pancreas",-118.2032121,34.0620121,9,Region IX,California,CA,6,6037,"Los Angeles County, CA","Los Angeles, CA",California District 34,115,634,90033,https://www.srtr.org/transplant-centers/keck-hospital-of-usc-cauh/
Pancreas,CAUH,TX1,Keck Hospital of USC,1500 San Pablo St,Los Angeles,90033,323-442-8500,http://transplant.keckmedicine.org/,05P003,OneLegacy,221 S Figueroa St Ste 500,Los Angeles,CA,California,90012-2526,213-229-5600,http://www.onelegacy.org,6037,37,Los Angeles County,Los Angeles,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Kidney, Liver, Lung, Pancreas",-118.2032121,34.0620121,9,Region IX,California,CA,6,6037,"Los Angeles County, CA","Los Angeles, CA",California District 34,115,634,90033,https://www.srtr.org/transplant-centers/keck-hospital-of-usc-cauh/
Liver,CAUH,TX1,Keck Hospital of USC,1500 San Pablo St,Los Angeles,90033,323-442-8500,http://transplant.keckmedicine.org/,05P003,OneLegacy,221 S Figueroa St Ste 500,Los Angeles,CA,California,90012-2526,213-229-5600,http://www.onelegacy.org,6037,37,Los Angeles County,Los Angeles,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Kidney, Liver, Lung, Pancreas",-118.2032121,34.0620121,9,Region IX,California,CA,6,6037,"Los Angeles County, CA","Los Angeles, CA",California District 34,115,634,90033,https://www.srtr.org/transplant-centers/keck-hospital-of-usc-cauh/
Heart,CAUH,TX1,Keck Hospital of USC,1500 San Pablo St,Los Angeles,90033,323-442-8500,http://transplant.keckmedicine.org/,05P003,OneLegacy,221 S Figueroa St Ste 500,Los Angeles,CA,California,90012-2526,213-229-5600,http://www.onelegacy.org,6037,37,Los Angeles County,Los Angeles,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Kidney, Liver, Lung, Pancreas",-118.2032121,34.0620121,9,Region IX,California,CA,6,6037,"Los Angeles County, CA","Los Angeles, CA",California District 34,115,634,90033,https://www.srtr.org/transplant-centers/keck-hospital-of-usc-cauh/
Lung,CAUH,TX1,Keck Hospital of USC,1500 San Pablo St,Los Angeles,90033,323-442-8500,http://transplant.keckmedicine.org/,05P003,OneLegacy,221 S Figueroa St Ste 500,Los Angeles,CA,California,90012-2526,213-229-5600,http://www.onelegacy.org,6037,37,Los Angeles County,Los Angeles,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Kidney, Liver, Lung, Pancreas",-118.2032121,34.0620121,9,Region IX,California,CA,6,6037,"Los Angeles County, CA","Los Angeles, CA",California District 34,115,634,90033,https://www.srtr.org/transplant-centers/keck-hospital-of-usc-cauh/
Kidney,COCH,TX1,Children's Hospital Colorado,13123 E 16th Ave,Aurora,80045,720-777-1234,http://www.childrenscolorado.org/,06P001,Donor Alliance,720 S Colorado Blvd Ste 800N,Denver,CO,Colorado,80246-1963,303-329-4747,http://www.donoralliance.org,8001,1,Adams County,Adams,County            ,8,Region VIII,8,Colorado,CO,N,N,10/25/18,10/25/18," Heart, Kidney, Liver",-104.8366043,39.74113735,8,Region VIII,Colorado,CO,8,8001,"Adams County, CO","Aurora, CO",Colorado District 06,115,806,80045,https://www.srtr.org/transplant-centers/childrens-hospital-colorado-coch/
Liver,COCH,TX1,Children's Hospital Colorado,13123 E 16th Ave,Aurora,80045,720-777-1234,http://www.childrenscolorado.org/,06P001,Donor Alliance,720 S Colorado Blvd Ste 800N,Denver,CO,Colorado,80246-1963,303-329-4747,http://www.donoralliance.org,8001,1,Adams County,Adams,County            ,8,Region VIII,8,Colorado,CO,N,N,10/25/18,10/25/18," Heart, Kidney, Liver",-104.8366043,39.74113735,8,Region VIII,Colorado,CO,8,8001,"Adams County, CO","Aurora, CO",Colorado District 06,115,806,80045,https://www.srtr.org/transplant-centers/childrens-hospital-colorado-coch/
Heart,COCH,TX1,Children's Hospital Colorado,13123 E 16th Ave,Aurora,80045,720-777-1234,http://www.childrenscolorado.org/,06P001,Donor Alliance,720 S Colorado Blvd Ste 800N,Denver,CO,Colorado,80246-1963,303-329-4747,http://www.donoralliance.org,8001,1,Adams County,Adams,County            ,8,Region VIII,8,Colorado,CO,N,N,10/25/18,10/25/18," Heart, Kidney, Liver",-104.8366043,39.74113735,8,Region VIII,Colorado,CO,8,8001,"Adams County, CO","Aurora, CO",Colorado District 06,115,806,80045,https://www.srtr.org/transplant-centers/childrens-hospital-colorado-coch/
Kidney,COPM,TX1,Centura Porter Adventist Hospital,2525 S Downing St,Denver,80210,303-778-1955,http://www.porterhospital.org,06P001,Donor Alliance,720 S Colorado Blvd Ste 800N,Denver,CO,Colorado,80246-1963,303-329-4747,http://www.donoralliance.org,8031,31,Denver County,Denver,County            ,8,Region VIII,8,Colorado,CO,N,N,10/25/18,10/25/18," Kidney, Liver, Pancreas",-104.9735187,39.67003736,8,Region VIII,Colorado,CO,8,8031,"Denver County, CO","Denver, CO",Colorado District 01,115,801,80210,https://www.srtr.org/transplant-centers/centura-porter-adventist-hospital-copm/
Pancreas,COPM,TX1,Centura Porter Adventist Hospital,2525 S Downing St,Denver,80210,303-778-1955,http://www.porterhospital.org,06P001,Donor Alliance,720 S Colorado Blvd Ste 800N,Denver,CO,Colorado,80246-1963,303-329-4747,http://www.donoralliance.org,8031,31,Denver County,Denver,County            ,8,Region VIII,8,Colorado,CO,N,N,10/25/18,10/25/18," Kidney, Liver, Pancreas",-104.9735187,39.67003736,8,Region VIII,Colorado,CO,8,8031,"Denver County, CO","Denver, CO",Colorado District 01,115,801,80210,https://www.srtr.org/transplant-centers/centura-porter-adventist-hospital-copm/
Liver,COPM,TX1,Centura Porter Adventist Hospital,2525 S Downing St,Denver,80210,303-778-1955,http://www.porterhospital.org,06P001,Donor Alliance,720 S Colorado Blvd Ste 800N,Denver,CO,Colorado,80246-1963,303-329-4747,http://www.donoralliance.org,8031,31,Denver County,Denver,County            ,8,Region VIII,8,Colorado,CO,N,N,10/25/18,10/25/18," Kidney, Liver, Pancreas",-104.9735187,39.67003736,8,Region VIII,Colorado,CO,8,8031,"Denver County, CO","Denver, CO",Colorado District 01,115,801,80210,https://www.srtr.org/transplant-centers/centura-porter-adventist-hospital-copm/
Kidney,COSL,TX1,Presbyterian/St Luke's Medical Center,1719 E 19th Ave,Denver,80218,303-839-6000,http://www.pslmc.com,06P001,Donor Alliance,720 S Colorado Blvd Ste 800N,Denver,CO,Colorado,80246-1963,303-329-4747,http://www.donoralliance.org,8031,31,Denver County,Denver,County            ,8,Region VIII,8,Colorado,CO,N,N,10/25/18,10/25/18," Kidney, Liver",-104.9667405,39.74608147,8,Region VIII,Colorado,CO,8,8031,"Denver County, CO","Denver, CO",Colorado District 01,115,801,80218,https://www.srtr.org/transplant-centers/presbyterianst-lukes-medical-center-cosl/
